,Survived,Age,Fare,Pclass
887,1.0,19.0,30.0,1
888,0.0,,23.45,3
889,1.0,26.0,30.0,1
890,0.0,32.0,7.75,3
891,,34.5,7.8292,3
892,,47.0,7.0,3
893,,62.0,9.6875,2
894,,27.0,8.6625,3
895,,22.0,12.2875,3
896,,14.0,9.225,3
897,,30.0,7.6292,3
898,,26.0,29.0,2
899,,18.0,7.2292,3
900,,21.0,24.15,3
901,,,7.8958,3
902,,46.0,26.0,1
903,,23.0,82.2667,1
904,,63.0,26.0,2
905,,47.0,61.175,1
906,,24.0,27.7208,2
907,,35.0,12.35,2
908,,21.0,7.225,3
909,,27.0,7.925,3
910,,45.0,7.225,3
911,,55.0,59.4,1
912,,9.0,3.1708,3
913,,,31.6833,1
914,,21.0,61.3792,1
915,,48.0,262.375,1
916,,50.0,14.5,3
917,,22.0,61.9792,1
918,,22.5,7.225,3
919,,41.0,30.5,1
920,,,21.6792,3
921,,50.0,26.0,2
922,,24.0,31.5,2
923,,33.0,20.575,3
924,,,23.45,3
925,,30.0,57.75,1
926,,18.5,7.2292,3
927,,,8.05,3
928,,21.0,8.6625,3
929,,25.0,9.5,3
930,,,56.4958,3
931,,39.0,13.4167,3
932,,,26.55,1
933,,41.0,7.85,3
934,,30.0,13.0,2
935,,45.0,52.5542,1
936,,25.0,7.925,3
937,,45.0,29.7,1
938,,,7.75,3
939,,60.0,76.2917,1
940,,36.0,15.9,3
941,,24.0,60.0,1
942,,27.0,15.0333,2
943,,20.0,23.0,2
944,,28.0,263.0,1
945,,,15.5792,2
946,,10.0,29.125,3
947,,35.0,7.8958,3
948,,25.0,7.65,3
949,,,16.1,3
950,,36.0,262.375,1
951,,17.0,7.8958,3
952,,32.0,13.5,2
953,,18.0,7.75,3
954,,22.0,7.725,3
955,,13.0,262.375,1
956,,,21.0,2
957,,18.0,7.8792,3
958,,47.0,42.4,1
959,,31.0,28.5375,1
960,,60.0,263.0,1
961,,24.0,7.75,3
962,,21.0,7.8958,3
963,,29.0,7.925,3
964,,28.5,27.7208,1
965,,35.0,211.5,1
966,,32.5,211.5,1
967,,,8.05,3
968,,55.0,25.7,1
969,,30.0,13.0,2
970,,24.0,7.75,3
971,,6.0,15.2458,3
972,,67.0,221.7792,1
973,,49.0,26.0,1
974,,,7.8958,3
975,,,10.7083,2
976,,,14.4542,3
977,,27.0,7.8792,3
978,,18.0,8.05,3
979,,,7.75,3
980,,2.0,23.0,2
981,,22.0,13.9,3
982,,,7.775,3
983,,27.0,52.0,1
984,,,8.05,3
985,,25.0,26.0,1
986,,25.0,7.7958,3
987,,76.0,78.85,1
988,,29.0,7.925,3
989,,20.0,7.8542,3
990,,33.0,8.05,3
991,,43.0,55.4417,1
992,,27.0,26.0,2
993,,,7.75,3
994,,26.0,7.775,3
995,,16.0,8.5167,3
996,,28.0,22.525,3
997,,21.0,7.8208,3
998,,,7.75,3
999,,,8.7125,3
1000,,18.5,13.0,2
1001,,41.0,15.0458,2
1002,,,7.7792,3
1003,,36.0,31.6792,1
1004,,18.5,7.2833,3
1005,,63.0,221.7792,1
1006,,18.0,14.4542,3
1007,,,6.4375,3
1008,,1.0,16.7,3
1009,,36.0,75.2417,1
1010,,29.0,26.0,2
1011,,12.0,15.75,2
1012,,,7.75,3
1013,,35.0,57.75,1
1014,,28.0,7.25,3
1015,,,7.75,3
1016,,17.0,16.1,3
1017,,22.0,7.7958,3
1018,,,23.25,3
1019,,42.0,13.0,2
1020,,24.0,8.05,3
1021,,32.0,8.05,3
1022,,53.0,28.5,1
1023,,,25.4667,3
1024,,,6.4375,3
1025,,43.0,7.8958,3
1026,,24.0,7.8542,3
1027,,26.5,7.225,3
1028,,26.0,13.0,2
1029,,23.0,8.05,3
1030,,40.0,46.9,3
1031,,10.0,46.9,3
1032,,33.0,151.55,1
1033,,61.0,262.375,1
1034,,28.0,26.0,2
1035,,42.0,26.55,1
1036,,31.0,18.0,3
1037,,,51.8625,1
1038,,22.0,8.05,3
1039,,,26.55,1
1040,,30.0,26.0,2
1041,,23.0,83.1583,1
1042,,,7.8958,3
1043,,60.5,,3
1044,,36.0,12.1833,3
1045,,13.0,31.3875,3
1046,,24.0,7.55,3
1047,,29.0,221.7792,1
1048,,23.0,7.8542,3
1049,,42.0,26.55,1
1050,,26.0,13.775,3
1051,,,7.7333,3
1052,,7.0,15.2458,3
1053,,26.0,13.5,2
1054,,,7.0,3
1055,,41.0,13.0,2
1056,,26.0,22.025,3
1057,,48.0,50.4958,1
1058,,18.0,34.375,3
1059,,,27.7208,1
1060,,22.0,8.9625,3
1061,,,7.55,3
1062,,27.0,7.225,3
1063,,23.0,13.9,3
1064,,,7.2292,3
1065,,40.0,31.3875,3
1066,,15.0,39.0,2
1067,,20.0,36.75,2
1068,,54.0,55.4417,1
1069,,36.0,39.0,2
1070,,64.0,83.1583,1
1071,,30.0,13.0,2
1072,,37.0,83.1583,1
1073,,18.0,53.1,1
1074,,,7.75,3
1075,,27.0,247.5208,1
1076,,40.0,16.0,2
1077,,21.0,21.0,2
1078,,17.0,8.05,3
1079,,,69.55,3
1080,,40.0,13.0,2
1081,,34.0,26.0,2
1082,,,26.0,1
1083,,11.5,14.5,3
1084,,61.0,12.35,2
1085,,8.0,32.5,2
1086,,33.0,7.8542,3
1087,,6.0,134.5,1
1088,,18.0,7.775,3
1089,,23.0,10.5,2
1090,,,8.1125,3
1091,,,15.5,3
1092,,0.33,14.4,3
1093,,47.0,227.525,1
1094,,8.0,26.0,2
1095,,25.0,10.5,2
1096,,,25.7417,1
1097,,35.0,7.75,3
1098,,24.0,10.5,2
1099,,33.0,27.7208,1
1100,,25.0,7.8958,3
1101,,32.0,22.525,3
1102,,,7.05,3
1103,,17.0,73.5,2
1104,,60.0,26.0,2
1105,,38.0,7.775,3
1106,,42.0,42.5,1
1107,,,7.8792,3
1108,,57.0,164.8667,1
1109,,50.0,211.5,1
1110,,,8.05,3
1111,,30.0,13.8583,2
1112,,21.0,8.05,3
1113,,22.0,10.5,2
1114,,21.0,7.7958,3
1115,,53.0,27.4458,1
1116,,,15.2458,3
1117,,23.0,7.7958,3
1118,,,7.75,3
1119,,40.5,15.1,3
1120,,36.0,13.0,2
1121,,14.0,65.0,2
1122,,21.0,26.55,1
1123,,21.0,6.4958,3
1124,,,7.8792,3
1125,,39.0,71.2833,1
1126,,20.0,7.8542,3
1127,,64.0,75.25,1
1128,,20.0,7.225,3
1129,,18.0,13.0,2
1130,,48.0,106.425,1
1131,,55.0,27.7208,1
1132,,45.0,30.0,2
1133,,45.0,134.5,1
1134,,,7.8875,3
1135,,,23.45,3
1136,,41.0,51.8625,1
1137,,22.0,21.0,2
1138,,42.0,32.5,2
1139,,29.0,26.0,2
1140,,,14.4542,3
1141,,0.92,27.75,2
1142,,20.0,7.925,3
1143,,27.0,136.7792,1
1144,,24.0,9.325,3
1145,,32.5,9.5,3
1146,,,7.55,3
1147,,,7.75,3
1148,,28.0,8.05,3
1149,,19.0,13.0,2
1150,,21.0,7.775,3
1151,,36.5,17.4,3
1152,,21.0,7.8542,3
1153,,29.0,23.0,2
1154,,1.0,12.1833,3
1155,,30.0,12.7375,2
1156,,,7.8958,3
1157,,,0.0,1
1158,,,7.55,3
1159,,,8.05,3
1160,,17.0,8.6625,3
1161,,46.0,75.2417,1
1162,,,7.75,3
1163,,26.0,136.7792,1
1164,,,15.5,3
1165,,,7.225,3
1166,,20.0,26.0,2
1167,,28.0,10.5,2
1168,,40.0,26.0,2
1169,,30.0,21.0,2
1170,,22.0,10.5,2
1171,,23.0,8.6625,3
1172,,0.75,13.775,3
1173,,,7.75,3
1174,,9.0,15.2458,3
1175,,2.0,20.2125,3
1176,,36.0,7.25,3
1177,,,7.25,3
1178,,24.0,82.2667,1
1179,,,7.2292,3
1180,,,8.05,3
1181,,,39.6,1
1182,,30.0,6.95,3
1183,,,7.2292,3
1184,,53.0,81.8583,1
1185,,36.0,9.5,3
1186,,26.0,7.8958,3
1187,,1.0,41.5792,2
1188,,,21.6792,3
1189,,30.0,45.5,1
1190,,29.0,7.8542,3
1191,,32.0,7.775,3
1192,,,15.0458,2
1193,,43.0,21.0,2
1194,,24.0,8.6625,3
1195,,,7.75,3
1196,,64.0,26.55,1
1197,,30.0,151.55,1
1198,,0.83,9.35,3
1199,,55.0,93.5,1
1200,,45.0,14.1083,3
1201,,18.0,8.6625,3
1202,,22.0,7.225,3
1203,,,7.575,3
1204,,37.0,7.75,3
1205,,55.0,135.6333,1
1206,,17.0,7.7333,3
1207,,57.0,146.5208,1
1208,,19.0,10.5,2
1209,,27.0,7.8542,3
1210,,22.0,31.5,2
1211,,26.0,7.775,3
1212,,25.0,7.2292,3
1213,,26.0,13.0,2
1214,,33.0,26.55,1
1215,,39.0,211.3375,1
1216,,23.0,7.05,3
1217,,12.0,39.0,2
1218,,46.0,79.2,1
1219,,29.0,26.0,2
1220,,21.0,13.0,2
1221,,48.0,36.75,2
1222,,39.0,29.7,1
1223,,,7.225,3
1224,,19.0,15.7417,3
1225,,27.0,7.8958,3
1226,,30.0,26.0,1
1227,,32.0,13.0,2
1228,,39.0,7.2292,3
1229,,25.0,31.5,2
1230,,,7.2292,3
1231,,18.0,10.5,2
1232,,32.0,7.5792,3
1233,,,69.55,3
1234,,58.0,512.3292,1
1235,,,14.5,3
1236,,16.0,7.65,3
1237,,26.0,13.0,2
1238,,38.0,7.2292,3
1239,,24.0,13.5,2
1240,,31.0,21.0,2
1241,,45.0,63.3583,1
1242,,25.0,10.5,2
1243,,18.0,73.5,2
1244,,49.0,65.0,2
1245,,0.17,20.575,3
1246,,50.0,26.0,1
1247,,59.0,51.4792,1
1248,,,7.8792,3
1249,,,7.75,3
1250,,30.0,15.55,3
1251,,14.5,69.55,3
1252,,24.0,37.0042,2
1253,,31.0,21.0,2
1254,,27.0,8.6625,3
1255,,25.0,55.4417,1
1256,,,69.55,3
1257,,,14.4583,3
1258,,22.0,39.6875,3
1259,,45.0,59.4,1
1260,,29.0,13.8583,2
1261,,21.0,11.5,2
1262,,31.0,134.5,1
1263,,49.0,0.0,1
1264,,44.0,13.0,2
1265,,54.0,81.8583,1
1266,,45.0,262.375,1
1267,,22.0,8.6625,3
1268,,21.0,11.5,2
1269,,55.0,50.0,1
1270,,5.0,31.3875,3
1271,,,7.75,3
1272,,26.0,7.8792,3
1273,,,14.5,3
1274,,19.0,16.1,3
1275,,,12.875,2
1276,,24.0,65.0,2
1277,,24.0,7.775,3
1278,,57.0,13.0,2
1279,,21.0,7.75,3
1280,,6.0,21.075,3
1281,,23.0,93.5,1
1282,,51.0,39.4,1
1283,,13.0,20.25,3
1284,,47.0,10.5,2
1285,,29.0,22.025,3
1286,,18.0,60.0,1
1287,,24.0,7.25,3
1288,,48.0,79.2,1
1289,,22.0,7.775,3
1290,,31.0,7.7333,3
1291,,30.0,164.8667,1
1292,,38.0,21.0,2
1293,,22.0,59.4,1
1294,,17.0,47.1,1
1295,,43.0,27.7208,1
1296,,20.0,13.8625,2
1297,,23.0,10.5,2
1298,,50.0,211.5,1
1299,,,7.7208,3
1300,,3.0,13.775,3
1301,,,7.75,3
1302,,37.0,90.0,1
1303,,28.0,7.775,3
1304,,,8.05,3
1305,,39.0,108.9,1
1306,,38.5,7.25,3
1307,,,8.05,3
1308,,,22.3583,3
